trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
6501,False,"{'a': 0.1, 'e': 0.00040969400548192502}",20,8,24.978601159561524,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6502,False,"{'a': 0.1, 'e': 0.00040920266753707418}",25,15,26.28276406532393,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6503,False,"{'a': 0.1, 'e': 0.0004087119188441353}",20,14,11.022857315547721,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6504,False,"{'a': 0.1, 'e': 0.00040822175869643018}",30,14,28.621714205159765,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6505,False,"{'a': 0.1, 'e': 0.00040773218638812814}",25,11,27.79251446462124,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6506,False,"{'a': 0.1, 'e': 0.00040724320121424492}",20,13,10.999948449294395,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6507,False,"{'a': 0.1, 'e': 0.00040675480247064186}",25,16,15.43524194487831,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6508,False,"{'a': 0.1, 'e': 0.00040626698945402464}",30,14,31.185709602735002,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6509,False,"{'a': 0.1, 'e': 0.00040577976146194243}",25,11,29.721210733075758,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6510,False,"{'a': 0.1, 'e': 0.00040529311779278685}",20,9,22.69956804907816,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6511,False,"{'a': 0.1, 'e': 0.00040480705774579093}",30,16,25.113104596890125,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6512,False,"{'a': 0.1, 'e': 0.00040432158062102811}",25,20,9.195220289075543,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6513,False,"{'a': 0.1, 'e': 0.00040383668571941124}",30,16,29.99944712839521,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6514,False,"{'a': 0.1, 'e': 0.00040335237234269156}",20,15,7.27979649078242,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6515,False,"{'a': 0.1, 'e': 0.00040286863979345776}",20,6,22.519996757390793,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6516,False,"{'a': 0.1, 'e': 0.00040238548737513488}",20,11,13.601968831755903,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
